Year,Qtr1,Qtr2,Qtr3,Qtr4,Annual
2007,602,597,610,610,604
2008,615,620,618,619,618
2009,620,630,621,638,626
2010,624,629,622,633,626
2011,633,643,636,641,638
2012,653,659,648,647,652
2013,651,647,659,648,651
2014,660,666,681,664,668
2015,669,678,672,690,678
2016,679,690,700,698,692
2017,702,718,714,714,712
2018,713,726,736,746,730
2019,739,751,749,747,746
2020,768,788,793,781,781
2021,792,793,817,831,809
2022,827,838,866,875,853
2023,884,889,,,
