Year,Qtr1,Qtr2,Qtr3,Qtr4,Annual
2007,693,690,695,700,695
2008,719,719,720,728,722
2009,738,734,738,748,739
2010,754,740,740,752,747
2011,755,753,753,764,756
2012,769,771,758,775,768
2013,773,776,771,786,776
2014,796,780,790,799,791
2015,808,801,803,825,809
2016,830,824,827,849,832
2017,865,859,859,857,860
2018,881,876,887,900,886
2019,905,908,919,936,917
2020,957,1002,994,984,984
2021,989,990,1001,1010,998
2022,1037,1041,1070,1085,1059
2023,1100,1100,,,
