Year,Qtr1,Qtr2,Qtr3,Qtr4,Annual
2007,710,704,707,697,704
2008,715,727,725,719,722
2009,726,719,720,735,726
2010,738,737,732,727,734
2011,736,743,731,744,739
2012,754,754,736,752,749
2013,741,751,747,752,748
2014,756,757,762,771,761
2015,758,757,773,757,762
2016,782,767,779,790,779
2017,791,799,801,800,798
2018,808,825,826,853,826
2019,835,848,874,870,856
2020,879,904,914,917,903
2021,912,915,942,931,925
2022,938,961,993,983,969
2023,995,1010,,,
