Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2018,4,4.1,4,4,3.8,4,3.8,3.8,3.7,3.8,3.8,3.9
2019,4,3.8,3.8,3.6,3.7,3.6,3.7,3.7,3.5,3.6,3.6,3.6
2020,3.5,3.5,4.4,14.7,13.2,11,10.2,8.4,7.9,6.9,6.7,6.7
2021,6.3,6.2,6.1,6.1,5.8,5.9,5.4,5.2,4.8,4.5,4.2,3.9
2022,4,3.8,3.6,3.6,3.6,3.6,3.5,3.7,3.5,3.7,3.6,3.5
2023,3.4,3.6,3.5,3.4,3.7,3.6,3.5,,,,,
