"","Date","State","Index Type","Seasonally adjusted percentage","Non-seasonally adjusted percentage"
"349",2021-01-14,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",90.4,88.5
"350",2021-01-15,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",90.5,88.9
"351",2021-01-16,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",90.7,89.3
"352",2021-01-17,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",90.8,89.6
"353",2021-01-18,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",90.9,89.8
"354",2021-01-19,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",91.2,90.2
"355",2021-01-20,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",91.5,90.5
"356",2021-01-21,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",91.7,90.7
"357",2021-01-22,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",92,91
"358",2021-01-23,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",92,91
"359",2021-01-24,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",92.1,91.2
"360",2021-01-25,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",92.3,91.5
"361",2021-01-26,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",92.5,91.8
"362",2021-01-27,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",92.6,92
"363",2021-01-28,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",92.9,92.4
"364",2021-01-29,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",93.1,92.7
"365",2021-01-30,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",93.7,93.4
"366",2021-01-31,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",94.1,93.9
"367",2021-02-01,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",94.4,94.4
"368",2021-02-02,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",94.9,95
"369",2021-02-03,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",95.3,95.6
"370",2021-02-04,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",95.6,95.9
"371",2021-02-05,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",96,96.4
"372",2021-02-06,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",96.2,96.7
"373",2021-02-07,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",96.5,97
"374",2021-02-08,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",96.8,97.3
"375",2021-02-09,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",97,97.6
"376",2021-02-10,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",97.3,97.9
"377",2021-02-11,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",97.7,98.4
"378",2021-02-12,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",97.9,98.7
"379",2021-02-13,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",98.3,99.1
"380",2021-02-14,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",98.5,99.4
"381",2021-02-15,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",98.8,99.7
"382",2021-02-16,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",99,100
"383",2021-02-17,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",99,100.2
"384",2021-02-18,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",99.1,100.4
"385",2021-02-19,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",99.2,100.6
"386",2021-02-20,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",99.1,100.6
"387",2021-02-21,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",99.2,100.8
"388",2021-02-22,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",99.2,101.1
"389",2021-02-23,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",99.4,101.4
"390",2021-02-24,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",99.6,101.7
"391",2021-02-25,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",99.7,102
"392",2021-02-26,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",99.9,102.2
"393",2021-02-27,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",100.2,102.6
"394",2021-02-28,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",100.3,102.9
"395",2021-03-01,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",100.3,103
"396",2021-03-02,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",100.3,103.2
"397",2021-03-03,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",100.3,103.4
"398",2021-03-04,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",100.4,103.7
"399",2021-03-05,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",100.6,104.1
"400",2021-03-06,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",100.6,104.3
"401",2021-03-07,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",100.8,104.7
"402",2021-03-08,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",101.1,105.2
"403",2021-03-09,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",101.5,105.7
"404",2021-03-10,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",101.8,106.2
"405",2021-03-11,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",102,106.6
"406",2021-03-12,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",102.2,107
"407",2021-03-13,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",102.7,107.6
"408",2021-03-14,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",102.9,107.9
"409",2021-03-15,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",103.2,108.3
"410",2021-03-16,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",103.4,108.7
"411",2021-03-17,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",103.6,109
"412",2021-03-18,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",103.9,109.4
"413",2021-03-19,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",104.2,109.8
"414",2021-03-20,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",104.4,110.2
"415",2021-03-21,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",104.8,110.7
"416",2021-03-22,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",105.2,111.2
"417",2021-03-23,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",105.6,111.8
"418",2021-03-24,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",106.1,112.4
"419",2021-03-25,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",106.5,112.9
"420",2021-03-26,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",106.9,113.4
"421",2021-03-27,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",107.5,114
"422",2021-03-28,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",108,114.5
"423",2021-03-29,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",108.5,115.1
"424",2021-03-30,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",109,115.5
"425",2021-03-31,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",109.5,116
"426",2021-04-01,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",109.9,116.4
"427",2021-04-02,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",110.2,116.7
"428",2021-04-03,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",110.3,116.9
"429",2021-04-04,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",110.5,117.1
"430",2021-04-05,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",110.7,117.5
"431",2021-04-06,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",110.7,117.7
"432",2021-04-07,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",110.8,117.9
"433",2021-04-08,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",111,118.3
"434",2021-04-09,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",111.1,118.6
"435",2021-04-10,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",111.2,118.8
"436",2021-04-11,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",111.2,119
"437",2021-04-12,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",111.3,119.2
"438",2021-04-13,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",111.4,119.3
"439",2021-04-14,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",111.5,119.6
"440",2021-04-15,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",111.8,119.9
"441",2021-04-16,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",112.2,120.3
"442",2021-04-17,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",112.7,120.7
"443",2021-04-18,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",113.3,121.2
"444",2021-04-19,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",113.8,121.6
"445",2021-04-20,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",114.3,122.1
"446",2021-04-21,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",114.8,122.5
"447",2021-04-22,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",115.2,122.8
"448",2021-04-23,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",115.6,123.2
"449",2021-04-24,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",115.9,123.6
"450",2021-04-25,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",116.2,123.9
"451",2021-04-26,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",116.6,124.3
"452",2021-04-27,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",116.9,124.7
"453",2021-04-28,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",117.2,125.1
"454",2021-04-29,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",117.4,125.4
"455",2021-04-30,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",117.8,125.7
"456",2021-05-01,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",117.9,125.8
"457",2021-05-02,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",117.9,125.8
"458",2021-05-03,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",118.1,125.9
"459",2021-05-04,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",118.2,126
"460",2021-05-05,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",118.3,126.1
"461",2021-05-06,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",118.5,126.3
"462",2021-05-07,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",118.2,126
"463",2021-05-08,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",118.4,126.3
"464",2021-05-09,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",118.7,126.7
"465",2021-05-10,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",118.9,127
"466",2021-05-11,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",119.1,127.3
"467",2021-05-12,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",119.4,127.6
"468",2021-05-13,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",119.7,127.9
"469",2021-05-14,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",120.2,128.5
"470",2021-05-15,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",120.3,128.7
"471",2021-05-16,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",120.4,128.8
"472",2021-05-17,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",120.5,128.8
"473",2021-05-18,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",120.5,128.9
"474",2021-05-19,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",120.4,128.9
"475",2021-05-20,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",120.5,129
"476",2021-05-21,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",120.4,129
"477",2021-05-22,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",120.4,129
"478",2021-05-23,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",120.5,129.3
"479",2021-05-24,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",120.8,129.6
"480",2021-05-25,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",121.1,130
"481",2021-05-26,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",121.4,130.3
"482",2021-05-27,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",121.7,130.6
"483",2021-05-28,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",122.2,131
"484",2021-05-29,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",122.8,131.5
"485",2021-05-30,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",123.3,131.8
"486",2021-05-31,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",123.8,132.1
"487",2021-06-01,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",124,132.1
"488",2021-06-02,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",124.3,132.2
"489",2021-06-03,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",124.6,132.2
"490",2021-06-04,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",124.8,132.3
"491",2021-06-05,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",124.9,132.3
"492",2021-06-06,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",125.1,132.4
"493",2021-06-07,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",125.1,132.5
"494",2021-06-08,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",125.3,132.8
"495",2021-06-09,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",125.5,133.1
"496",2021-06-10,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",125.7,133.4
"497",2021-06-11,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",125.9,133.7
"498",2021-06-12,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",126,134
"499",2021-06-13,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",126.2,134.2
"500",2021-06-14,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",126.5,134.6
"501",2021-06-15,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",126.8,134.9
"502",2021-06-16,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",127.1,135.1
"503",2021-06-17,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",127.2,135.3
"504",2021-06-18,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",127.2,135.3
"505",2021-06-19,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",127.4,135.5
"506",2021-06-20,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",127.5,135.6
"507",2021-06-21,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",127.6,135.8
"508",2021-06-22,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",127.7,135.9
"509",2021-06-23,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",127.8,136.1
"510",2021-06-24,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",128,136.3
"511",2021-06-25,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",128.2,136.5
"512",2021-06-26,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",128.5,136.7
"513",2021-06-27,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",128.6,136.9
"514",2021-06-28,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",128.9,137.1
"515",2021-06-29,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",129.2,137.3
"516",2021-06-30,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",129.3,137.4
"517",2021-07-01,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",129.5,137.5
"518",2021-07-02,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",129.7,137.6
"519",2021-07-03,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",129.9,137.7
"520",2021-07-04,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",130.2,137.8
"521",2021-07-05,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",130.4,137.7
"522",2021-07-06,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",130.6,137.7
"523",2021-07-07,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",130.8,137.7
"524",2021-07-08,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",131.1,137.9
"525",2021-07-09,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",131.4,138.1
"526",2021-07-10,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",131.5,138.1
"527",2021-07-11,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",131.5,138.2
"528",2021-07-12,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",131.6,138.3
"529",2021-07-13,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",131.7,138.4
"530",2021-07-14,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",131.8,138.6
"531",2021-07-15,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",131.9,138.8
"532",2021-07-16,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",132.1,139
"533",2021-07-17,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",132.3,139.3
"534",2021-07-18,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",132.7,139.7
"535",2021-07-19,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",133.1,140.2
"536",2021-07-20,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",133.4,140.6
"537",2021-07-21,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",133.5,140.8
"538",2021-07-22,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",133.4,140.8
"539",2021-07-23,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",133.3,140.8
"540",2021-07-24,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",133,140.6
"541",2021-07-25,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",132.7,140.2
"542",2021-07-26,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",132.3,139.9
"543",2021-07-27,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",132,139.6
"544",2021-07-28,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",131.9,139.6
"545",2021-07-29,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",132,139.7
"546",2021-07-30,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",131.9,139.7
"547",2021-07-31,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",132,139.9
"548",2021-08-01,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",132,140.1
"549",2021-08-02,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",132,140.3
"550",2021-08-03,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",131.8,140.3
"551",2021-08-04,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",131.6,140.3
"552",2021-08-05,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",131.5,140.4
"553",2021-08-06,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",131.6,140.8
"554",2021-08-07,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",131.4,140.8
"555",2021-08-08,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",131.5,141.1
"556",2021-08-09,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",131.6,141.5
"557",2021-08-10,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",131.8,142
"558",2021-08-11,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",131.8,142.3
"559",2021-08-12,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",131.9,142.7
"560",2021-08-13,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",131.9,142.9
"561",2021-08-14,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",132,143.3
"562",2021-08-15,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",132,143.5
"563",2021-08-16,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",131.3,142.9
"564",2021-08-17,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",131.4,143.1
"565",2021-08-18,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",131.5,143.3
"566",2021-08-19,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",131.8,143.6
"567",2021-08-20,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",132.1,143.9
"568",2021-08-21,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",132.4,144.2
"569",2021-08-22,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",132.8,144.5
"570",2021-08-23,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",133.8,145.5
"571",2021-08-24,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",134.2,145.8
"572",2021-08-25,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",134.5,146.2
"573",2021-08-26,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",134.8,146.4
"574",2021-08-27,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",134.9,146.5
"575",2021-08-28,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",135,146.6
"576",2021-08-29,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",135.1,146.7
"577",2021-08-30,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",135.3,146.9
"578",2021-08-31,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",135.5,147
"579",2021-09-01,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",135.6,147
"580",2021-09-02,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",135.8,147
"581",2021-09-03,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",136,147
"582",2021-09-04,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",136.2,146.9
"583",2021-09-05,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",136.4,146.9
"584",2021-09-06,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",136.8,147
"585",2021-09-07,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",136.8,146.9
"586",2021-09-08,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",137.1,147
"587",2021-09-09,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",137.3,147.1
"588",2021-09-10,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",137.2,146.9
"589",2021-09-11,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",137.2,146.9
"590",2021-09-12,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",137,146.7
"591",2021-09-13,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",136.9,146.6
"592",2021-09-14,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",137.2,147
"593",2021-09-15,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",137.5,147.3
"594",2021-09-16,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",137.8,147.6
"595",2021-09-17,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",138.2,148.1
"596",2021-09-18,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",138.7,148.6
"597",2021-09-19,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",139.3,149.1
"598",2021-09-20,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",139.8,149.5
"599",2021-09-21,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",140,149.7
"600",2021-09-22,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",140.2,149.9
"601",2021-09-23,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",140.4,150
"602",2021-09-24,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",140.6,150.2
"603",2021-09-25,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",140.8,150.4
"604",2021-09-26,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",141,150.5
"605",2021-09-27,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",141.3,150.6
"606",2021-09-28,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",141.6,150.8
"607",2021-09-29,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",141.9,151
"608",2021-09-30,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",142.1,151.1
"609",2021-10-01,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",142.4,151.3
"610",2021-10-02,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",142.7,151.5
"611",2021-10-03,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",142.9,151.7
"612",2021-10-04,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",143.1,151.9
"613",2021-10-05,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",143.2,151.9
"614",2021-10-06,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",143.2,152
"615",2021-10-07,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",143.2,152
"616",2021-10-08,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",143.2,152.1
"617",2021-10-09,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",143.3,152.2
"618",2021-10-10,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",143.3,152.2
"619",2021-10-11,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",143.3,152.4
"620",2021-10-12,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",143.3,152.4
"621",2021-10-13,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",143.4,152.4
"622",2021-10-14,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",143.7,152.7
"623",2021-10-15,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",144,152.8
"624",2021-10-16,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",144.1,152.8
"625",2021-10-17,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",144.5,153
"626",2021-10-18,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",144.8,153.1
"627",2021-10-19,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",145.3,153.5
"628",2021-10-20,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",145.8,153.7
"629",2021-10-21,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",146.1,153.9
"630",2021-10-22,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",146.4,154.1
"631",2021-10-23,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",146.9,154.5
"632",2021-10-24,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",147.1,154.7
"633",2021-10-25,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",147.4,154.9
"634",2021-10-26,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",147.7,155.1
"635",2021-10-27,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",147.9,155.3
