Year,Qtr1,Qtr2,Qtr3,Qtr4,Annual
2007,759,763,767,774,766
2008,790,800,796,807,798
2009,823,815,812,825,819
2010,844,810,813,830,824
2011,829,825,827,843,832
2012,848,865,828,875,854
2013,867,860,847,869,860
2014,872,857,870,882,871
2015,895,886,889,907,895
2016,912,909,911,927,915
2017,950,934,937,946,941
2018,965,959,973,993,973
2019,1004,1000,1002,1022,1007
2020,1066,1087,1104,1072,1082
2021,1089,1094,1100,1103,1097
2022,1128,1144,1164,1176,1154
2023,1186,1181,,,
