Year,Qtr1,Qtr2,Qtr3,Qtr4,Annual
2007,714,713,713,722,716
2008,742,738,739,748,742
2009,758,754,753,763,757
2010,772,756,759,772,765
2011,774,770,772,786,775
2012,793,792,780,802,792
2013,802,799,794,813,802
2014,819,802,816,823,816
2015,835,829,829,847,835
2016,857,854,854,881,862
2017,894,886,887,891,890
2018,911,907,915,931,916
2019,935,933,943,967,945
2020,980,1017,1008,1007,1003
2021,1006,1012,1024,1030,1018
2022,1064,1068,1101,1111,1085
2023,1130,1126,,,
