Year,Qtr1,Qtr2,Qtr3,Qtr4,Annual
2007,585,597,618,599,600
2008,604,615,646,618,620
2009,595,620,622,653,621
2010,635,632,634,629,633
2011,621,673,661,660,653
2012,677,668,633,680,665
2013,666,666,682,646,664
2014,708,667,679,667,680
2015,694,696,652,674,680
2016,732,704,732,706,718
2017,722,702,744,681,710
2018,723,720,726,773,735
2019,772,761,768,778,769
2020,823,828,869,810,830
2021,834,877,813,807,825
2022,870,953,922,951,921
2023,909,975,,,
