Year,Qtr1,Qtr2,Qtr3,Qtr4,Annual
2007,743,709,738,732,731
2008,754,741,723,782,753
2009,773,781,777,786,779
2010,767,854,773,719,773
2011,762,748,712,771,751
2012,830,771,762,752,770
2013,831,861,795,792,819
2014,876,855,795,826,841
2015,869,836,818,943,877
2016,933,907,865,908,902
2017,892,931,902,894,903
2018,941,918,965,937,937
2019,1017,965,1138,1008,1025
2020,1106,1141,1224,1091,1143
2021,1134,1037,1189,1165,1141
2022,1237,1182,1177,1342,1234
2023,1313,1310,,,
