Year,Qtr1,Qtr2,Qtr3,Qtr4,Annual
2007,783,783,784,800,788
2008,822,827,816,833,825
2009,855,842,835,850,845
2010,869,838,839,857,850
2011,856,850,847,871,856
2012,874,891,854,895,879
2013,888,885,868,896,884
2014,898,884,896,907,897
2015,918,914,919,931,920
2016,936,941,932,959,942
2017,977,961,965,982,971
2018,997,985,1004,1024,1002
2019,1033,1026,1025,1058,1036
2020,1096,1115,1122,1108,1110
2021,1118,1115,1134,1129,1125
2022,1148,1161,1192,1194,1172
2023,1222,1201,,,
