Year,Qtr1,Qtr2,Qtr3,Qtr4,Annual
2007,625,620,630,632,626
2008,652,648,649,667,654
2009,666,666,668,679,669
2010,678,682,677,695,684
2011,699,705,699,709,703
2012,713,701,712,712,710
2013,723,718,719,728,722
2014,740,725,733,738,734
2015,746,742,740,745,743
2016,767,759,760,778,766
2017,790,808,791,791,795
2018,810,815,825,816,817
2019,826,835,843,859,840
2020,873,929,910,912,905
2021,912,921,929,939,925
2022,954,956,990,991,973
2023,1007,1016,,,
