Year,Qtr1,Qtr2,Qtr3,Qtr4,Annual
2007,502,503,502,507,503
2008,520,537,529,535,529
2009,545,547,527,547,541
2010,554,529,522,539,535
2011,549,565,545,537,549
2012,567,576,556,571,568
2013,575,572,587,576,578
2014,593,583,598,600,594
2015,590,601,602,624,604
2016,612,618,632,646,624
2017,649,657,655,657,655
2018,675,674,689,684,680
2019,696,696,718,712,706
2020,721,786,785,742,758
2021,750,779,779,799,777
2022,799,812,861,837,823
2023,868,851,,,
