Year,Qtr1,Qtr2,Qtr3,Qtr4,Annual
2007,615,607,616,618,614
2008,637,634,631,650,638
2009,649,652,657,670,657
2010,665,672,662,679,669
2011,683,689,673,688,684
2012,697,689,685,692,691
2013,704,707,698,713,706
2014,722,716,715,724,719
2015,730,726,721,729,726
2016,750,744,745,758,749
2017,765,780,767,769,770
2018,783,780,796,794,789
2019,806,814,825,843,821
2020,857,913,902,894,891
2021,900,899,916,930,912
2022,939,943,971,975,958
2023,996,993,,,
